Date,Product,City,Quantity,Price
2024-01-06,Monitor,Quetta,8,25000
2024-01-06,Headphones,Islamabad,6,8000
2024-01-06,Laptop,Quetta,21,75000
2024-01-06,Headphones,Karachi,9,8000
2024-01-07,Headphones,Islamabad,13,8000
2024-01-07,Laptop,Peshawar,11,75000
2024-01-07,Laptop,Karachi,16,75000
2024-01-07,Laptop,Karachi,16,75000
2024-01-07,Laptop,Karachi,2,75000
2024-01-07,Monitor,Peshawar,10,25000
2024-01-07,Tablet,Lahore,12,35000
2024-01-07,Tablet,Multan,8,35000
2024-01-07,Laptop,Quetta,11,75000
2024-01-07,Tablet,Islamabad,10,35000
2024-01-07,Tablet,Lahore,13,35000
2024-01-07,Laptop,Islamabad,17,75000
2024-01-07,Tablet,Quetta,7,35000
2024-01-08,Headphones,Peshawar,24,8000
2024-01-08,Phone,Karachi,3,45000
2024-01-08,Phone,Karachi,20,45000
2024-01-08,Laptop,Peshawar,13,75000
2024-01-08,Monitor,Lahore,19,25000
2024-01-08,Laptop,Lahore,7,75000
2024-01-08,Monitor,Islamabad,9,25000
2024-01-08,Phone,Peshawar,19,45000
2024-01-08,Laptop,Lahore,13,75000
2024-01-08,Headphones,Peshawar,22,8000
2024-01-08,Tablet,Quetta,8,35000
2024-01-08,Monitor,Karachi,22,25000
2024-01-08,Tablet,Karachi,18,35000
2024-01-08,Tablet,Karachi,23,35000
2024-01-09,Laptop,Peshawar,2,75000
2024-01-09,Tablet,Peshawar,18,35000
2024-01-09,Headphones,Islamabad,18,8000
2024-01-09,Tablet,Karachi,11,35000
2024-01-09,Laptop,Islamabad,1,75000
2024-01-09,Headphones,Karachi,14,8000
2024-01-09,Phone,Islamabad,16,45000
2024-01-09,Tablet,Islamabad,11,35000
2024-01-09,Laptop,Quetta,1,75000
2024-01-09,Phone,Islamabad,7,45000
2024-01-09,Phone,Peshawar,16,45000
2024-01-09,Monitor,Islamabad,14,25000
2024-01-09,Headphones,Karachi,15,8000
2024-01-09,Tablet,Islamabad,14,35000
2024-01-10,Laptop,Lahore,21,75000
2024-01-10,Monitor,Multan,11,25000
2024-01-10,Headphones,Karachi,16,8000
2024-01-10,Monitor,Lahore,19,25000
2024-01-10,Headphones,Karachi,17,8000
2024-01-10,Headphones,Peshawar,6,8000
2024-01-10,Tablet,Multan,11,35000
2024-01-10,Headphones,Multan,17,8000
2024-01-10,Monitor,Peshawar,9,25000
2024-01-10,Headphones,Multan,18,8000
2024-01-10,Tablet,Peshawar,17,35000
2024-01-10,Tablet,Lahore,12,35000
2024-01-10,Monitor,Quetta,23,25000
2024-01-11,Phone,Karachi,22,45000
2024-01-11,Phone,Peshawar,22,45000
2024-01-11,Headphones,Karachi,5,8000
2024-01-11,Laptop,Lahore,11,75000
2024-01-11,Headphones,Quetta,4,8000
2024-01-11,Monitor,Lahore,4,25000
2024-01-11,Monitor,Multan,3,25000
2024-01-11,Monitor,Karachi,24,25000
2024-01-11,Monitor,Quetta,23,25000
2024-01-11,Monitor,Multan,17,25000
2024-01-11,Tablet,Quetta,7,35000
2024-01-11,Phone,Multan,4,45000
2024-01-11,Monitor,Lahore,23,25000
2024-01-11,Laptop,Peshawar,13,75000
2024-01-12,Laptop,Karachi,12,75000
2024-01-12,Laptop,Islamabad,1,75000
2024-01-12,Laptop,Islamabad,21,75000
2024-01-12,Tablet,Lahore,19,35000
2024-01-12,Laptop,Karachi,21,75000
2024-01-12,Monitor,Karachi,20,25000
2024-01-12,Headphones,Lahore,18,8000
2024-01-12,Laptop,Karachi,11,75000
2024-01-12,Tablet,Peshawar,20,35000
2024-01-12,Tablet,Lahore,3,35000
2024-01-12,Laptop,Peshawar,17,75000
2024-01-12,Headphones,Karachi,12,8000
2024-01-12,Laptop,Lahore,10,75000
2024-01-12,Tablet,Karachi,8,35000
2024-01-13,Phone,Lahore,15,45000
2024-01-13,Monitor,Karachi,5,25000
2024-01-13,Tablet,Peshawar,4,35000
2024-01-13,Laptop,Peshawar,21,75000
2024-01-13,Monitor,Karachi,20,25000
2024-01-13,Laptop,Lahore,19,75000
2024-01-13,Laptop,Islamabad,21,75000
2024-01-13,Phone,Peshawar,4,45000
2024-01-13,Monitor,Peshawar,15,25000
2024-01-13,Monitor,Multan,17,25000
2024-01-13,Phone,Islamabad,12,45000
2024-01-13,Tablet,Karachi,3,35000
2024-01-13,Laptop,Lahore,10,75000
2024-01-13,Headphones,Multan,15,8000
2024-01-14,Laptop,Karachi,10,75000
2024-01-14,Laptop,Quetta,24,75000
2024-01-14,Tablet,Peshawar,23,35000
2024-01-14,Laptop,Quetta,18,75000
2024-01-14,Phone,Peshawar,1,45000
2024-01-14,Phone,Peshawar,3,45000
2024-01-14,Monitor,Quetta,21,25000
2024-01-14,Headphones,Quetta,12,8000
2024-01-14,Laptop,Karachi,1,75000
2024-01-14,Laptop,Multan,3,75000
2024-01-14,Tablet,Multan,3,35000
2024-01-14,Phone,Quetta,5,45000
2024-01-14,Headphones,Karachi,19,8000
2024-01-15,Monitor,Multan,1,25000
2024-01-15,Phone,Karachi,4,45000
2024-01-15,Monitor,Karachi,4,25000
2024-01-15,Tablet,Peshawar,17,35000
2024-01-15,Tablet,Multan,14,35000
2024-01-15,Laptop,Multan,18,75000
2024-01-15,Headphones,Peshawar,1,8000
2024-01-15,Monitor,Quetta,22,25000
2024-01-15,Phone,Peshawar,16,45000
2024-01-15,Tablet,Multan,3,35000
2024-01-15,Laptop,Multan,23,75000
2024-01-15,Laptop,Quetta,21,75000
2024-01-15,Monitor,Peshawar,9,25000
2024-01-15,Tablet,Lahore,23,35000
2024-01-16,Headphones,Lahore,4,8000
2024-01-16,Tablet,Quetta,21,35000
2024-01-16,Monitor,Peshawar,5,25000
2024-01-16,Monitor,Peshawar,11,25000
2024-01-16,Tablet,Karachi,21,35000
2024-01-16,Monitor,Multan,9,25000
2024-01-16,Tablet,Islamabad,3,35000
2024-01-16,Phone,Quetta,6,45000
2024-01-16,Tablet,Islamabad,24,35000
2024-01-16,Tablet,Islamabad,11,35000
2024-01-16,Monitor,Quetta,9,25000
2024-01-16,Monitor,Peshawar,15,25000
2024-01-16,Laptop,Quetta,23,75000
2024-01-16,Laptop,Islamabad,3,75000
2024-01-17,Phone,Multan,1,45000
2024-01-17,Laptop,Multan,20,75000
2024-01-17,Tablet,Multan,22,35000
2024-01-17,Monitor,Peshawar,19,25000
2024-01-17,Laptop,Lahore,14,75000
2024-01-17,Laptop,Quetta,17,75000
2024-01-17,Phone,Multan,22,45000
2024-01-17,Phone,Quetta,14,45000
2024-01-17,Tablet,Multan,17,35000
2024-01-17,Monitor,Peshawar,14,25000
2024-01-17,Phone,Lahore,12,45000
2024-01-17,Laptop,Lahore,16,75000
2024-01-17,Monitor,Multan,1,25000
2024-01-18,Monitor,Peshawar,13,25000
2024-01-18,Laptop,Karachi,6,75000
2024-01-18,Phone,Quetta,17,45000
2024-01-18,Laptop,Quetta,12,75000
2024-01-18,Monitor,Islamabad,23,25000
2024-01-18,Headphones,Peshawar,19,8000
2024-01-18,Headphones,Islamabad,6,8000
2024-01-18,Tablet,Multan,7,35000
2024-01-18,Laptop,Islamabad,1,75000
2024-01-18,Laptop,Lahore,1,75000
2024-01-18,Tablet,Quetta,5,35000
2024-01-18,Tablet,Islamabad,6,35000
2024-01-18,Tablet,Lahore,16,35000
2024-01-18,Monitor,Peshawar,16,25000
2024-01-19,Laptop,Islamabad,14,75000
2024-01-19,Monitor,Multan,1,25000
2024-01-19,Tablet,Multan,13,35000
2024-01-19,Laptop,Multan,20,75000
2024-01-19,Monitor,Quetta,10,25000
2024-01-19,Monitor,Islamabad,24,25000
2024-01-19,Tablet,Peshawar,10,35000
2024-01-19,Laptop,Islamabad,9,75000
2024-01-19,Tablet,Quetta,13,35000
2024-01-19,Laptop,Lahore,3,75000
2024-01-19,Headphones,Quetta,18,8000
2024-01-19,Phone,Multan,20,45000
2024-01-19,Phone,Lahore,2,45000
2024-01-19,Phone,Multan,17,45000
2024-01-20,Tablet,Karachi,19,35000
2024-01-20,Headphones,Quetta,23,8000
2024-01-20,Laptop,Quetta,13,75000
2024-01-20,Monitor,Peshawar,13,25000
2024-01-20,Laptop,Islamabad,1,75000
2024-01-20,Monitor,Lahore,2,25000
2024-01-20,Laptop,Lahore,1,75000
2024-01-20,Headphones,Peshawar,24,8000
2024-01-20,Monitor,Peshawar,5,25000
2024-01-20,Tablet,Islamabad,24,35000
2024-01-20,Laptop,Multan,3,75000
2024-01-20,Laptop,Islamabad,7,75000
2024-01-20,Monitor,Quetta,24,25000
2024-01-21,Tablet,Multan,22,35000
2024-01-21,Tablet,Karachi,13,35000
2024-01-21,Headphones,Islamabad,23,8000
2024-01-21,Tablet,Peshawar,18,35000
2024-01-21,Tablet,Multan,24,35000
2024-01-21,Tablet,Islamabad,21,35000
2024-01-21,Phone,Lahore,7,45000
2024-01-21,Headphones,Karachi,1,8000
2024-01-21,Laptop,Quetta,5,75000
2024-01-21,Monitor,Lahore,17,25000
2024-01-21,Laptop,Lahore,8,75000
2024-01-21,Headphones,Karachi,15,8000
2024-01-21,Monitor,Quetta,20,25000
2024-01-21,Headphones,Peshawar,4,8000
2024-01-22,Tablet,Multan,2,35000
2024-01-22,Monitor,Quetta,5,25000
2024-01-22,Tablet,Islamabad,1,35000
2024-01-22,Laptop,Lahore,5,75000
2024-01-22,Laptop,Islamabad,6,75000
2024-01-22,Monitor,Peshawar,2,25000
2024-01-22,Monitor,Islamabad,1,25000
2024-01-22,Headphones,Quetta,4,8000
2024-01-22,Headphones,Islamabad,7,8000
2024-01-22,Tablet,Peshawar,22,35000
2024-01-22,Monitor,Peshawar,1,25000
2024-01-22,Laptop,Peshawar,1,75000
2024-01-22,Headphones,Quetta,8,8000
2024-01-22,Headphones,Peshawar,20,8000
2024-01-23,Laptop,Lahore,16,75000
2024-01-23,Headphones,Peshawar,21,8000
2024-01-23,Tablet,Islamabad,13,35000
2024-01-23,Monitor,Multan,23,25000
2024-01-23,Laptop,Islamabad,24,75000
2024-01-23,Monitor,Multan,23,25000
2024-01-23,Headphones,Islamabad,18,8000
2024-01-23,Headphones,Quetta,20,8000
2024-01-23,Laptop,Islamabad,10,75000
2024-01-23,Tablet,Quetta,12,35000
2024-01-23,Phone,Quetta,1,45000
2024-01-23,Laptop,Peshawar,10,75000
2024-01-23,Phone,Lahore,9,45000
2024-01-23,Phone,Multan,3,45000
2024-01-24,Tablet,Peshawar,19,35000
2024-01-24,Phone,Peshawar,9,45000
2024-01-24,Phone,Quetta,10,45000
2024-01-24,Tablet,Quetta,19,35000
2024-01-24,Phone,Multan,16,45000
2024-01-24,Phone,Islamabad,24,45000
2024-01-24,Phone,Islamabad,18,45000
2024-01-24,Laptop,Peshawar,14,75000
2024-01-24,Laptop,Karachi,3,75000
2024-01-24,Laptop,Karachi,2,75000
2024-01-24,Tablet,Islamabad,1,35000
2024-01-24,Headphones,Karachi,18,8000
2024-01-24,Phone,Islamabad,24,45000
2024-01-25,Phone,Quetta,9,45000
2024-01-25,Tablet,Peshawar,13,35000
2024-01-25,Phone,Lahore,2,45000
2024-01-25,Laptop,Peshawar,7,75000
2024-01-25,Headphones,Islamabad,16,8000
2024-01-25,Monitor,Islamabad,21,25000
2024-01-25,Phone,Peshawar,19,45000
2024-01-25,Laptop,Multan,15,75000
2024-01-25,Monitor,Islamabad,22,25000
2024-01-25,Headphones,Karachi,11,8000
2024-01-25,Monitor,Karachi,1,25000
2024-01-25,Laptop,Islamabad,21,75000
2024-01-25,Monitor,Islamabad,7,25000
2024-01-25,Tablet,Multan,20,35000
2024-01-26,Monitor,Karachi,8,25000
2024-01-26,Phone,Islamabad,10,45000
2024-01-26,Phone,Islamabad,5,45000
2024-01-26,Tablet,Multan,9,35000
2024-01-26,Laptop,Multan,1,75000
2024-01-26,Phone,Peshawar,2,45000
2024-01-26,Headphones,Multan,19,8000
2024-01-26,Phone,Lahore,14,45000
2024-01-26,Phone,Karachi,20,45000
2024-01-26,Laptop,Peshawar,10,75000
2024-01-26,Monitor,Lahore,9,25000
2024-01-26,Phone,Islamabad,10,45000
2024-01-26,Tablet,Islamabad,6,35000
2024-01-26,Monitor,Peshawar,17,25000
2024-01-27,Headphones,Multan,6,8000
2024-01-27,Laptop,Islamabad,4,75000
2024-01-27,Headphones,Quetta,20,8000
2024-01-27,Monitor,Peshawar,3,25000
2024-01-27,Monitor,Lahore,23,25000
2024-01-27,Monitor,Peshawar,19,25000
2024-01-27,Headphones,Karachi,18,8000
2024-01-27,Monitor,Multan,24,25000
2024-01-27,Headphones,Multan,4,8000
2024-01-27,Monitor,Peshawar,8,25000
2024-01-27,Tablet,Islamabad,17,35000
2024-01-27,Monitor,Islamabad,5,25000
2024-01-27,Headphones,Quetta,13,8000
2024-01-28,Phone,Quetta,1,45000
2024-01-28,Monitor,Multan,13,25000
2024-01-28,Phone,Quetta,4,45000
2024-01-28,Tablet,Lahore,22,35000
2024-01-28,Laptop,Quetta,24,75000
2024-01-28,Tablet,Lahore,14,35000
2024-01-28,Monitor,Quetta,3,25000
2024-01-28,Phone,Multan,5,45000
2024-01-28,Phone,Multan,7,45000
2024-01-28,Headphones,Lahore,1,8000
2024-01-28,Phone,Peshawar,23,45000
2024-01-28,Headphones,Multan,12,8000
2024-01-28,Laptop,Peshawar,11,75000
2024-01-28,Monitor,Islamabad,24,25000
2024-01-29,Headphones,Lahore,8,8000
2024-01-29,Laptop,Multan,6,75000
2024-01-29,Phone,Karachi,22,45000
2024-01-29,Phone,Islamabad,2,45000
2024-01-29,Laptop,Peshawar,19,75000
2024-01-29,Phone,Multan,20,45000
2024-01-29,Laptop,Lahore,20,75000
2024-01-29,Headphones,Quetta,24,8000
2024-01-29,Headphones,Karachi,14,8000
2024-01-29,Laptop,Peshawar,1,75000
2024-01-29,Headphones,Islamabad,10,8000
2024-01-29,Headphones,Lahore,16,8000
2024-01-29,Headphones,Karachi,4,8000
2024-01-29,Tablet,Lahore,11,35000
2024-01-30,Monitor,Multan,16,25000
2024-01-30,Phone,Quetta,20,45000
2024-01-30,Tablet,Islamabad,1,35000
2024-01-30,Headphones,Lahore,16,8000
2024-01-30,Laptop,Peshawar,19,75000
2024-01-30,Headphones,Multan,21,8000
2024-01-30,Monitor,Multan,22,25000
2024-01-30,Headphones,Islamabad,9,8000
2024-01-30,Laptop,Multan,9,75000
2024-01-30,Monitor,Peshawar,9,25000
2024-01-30,Headphones,Lahore,17,8000
2024-01-30,Monitor,Islamabad,12,25000
2024-01-30,Phone,Multan,13,45000
2024-01-31,Phone,Multan,8,45000
2024-01-31,Headphones,Peshawar,16,8000
2024-01-31,Monitor,Quetta,18,25000
2024-01-31,Laptop,Quetta,1,75000
2024-01-31,Headphones,Multan,1,8000
2024-01-31,Phone,Lahore,12,45000
2024-01-31,Phone,Islamabad,6,45000
2024-01-31,Headphones,Multan,9,8000
2024-01-31,Monitor,Karachi,23,25000
2024-01-31,Phone,Islamabad,5,45000
2024-01-31,Monitor,Quetta,16,25000
2024-01-31,Phone,Multan,18,45000
2024-01-31,Phone,Peshawar,17,45000
2024-01-31,Tablet,Karachi,18,35000
2024-02-01,Phone,Multan,1,45000
2024-02-01,Laptop,Lahore,19,75000
2024-02-01,Headphones,Karachi,22,8000
2024-02-01,Headphones,Multan,8,8000
2024-02-01,Monitor,Lahore,3,25000
2024-02-01,Phone,Karachi,5,45000
2024-02-01,Laptop,Lahore,23,75000
2024-02-01,Monitor,Lahore,8,25000
2024-02-01,Tablet,Karachi,19,35000
2024-02-01,Monitor,Karachi,18,25000
2024-02-01,Monitor,Lahore,18,25000
2024-02-01,Phone,Quetta,21,45000
2024-02-01,Tablet,Karachi,1,35000
2024-02-01,Monitor,Multan,15,25000
2024-02-02,Laptop,Islamabad,18,75000
2024-02-02,Laptop,Peshawar,7,75000
2024-02-02,Headphones,Lahore,16,8000
2024-02-02,Tablet,Lahore,16,35000
2024-02-02,Tablet,Peshawar,15,35000
2024-02-02,Headphones,Quetta,6,8000
2024-02-02,Monitor,Peshawar,9,25000
2024-02-02,Tablet,Karachi,7,35000
2024-02-02,Laptop,Peshawar,14,75000
2024-02-02,Laptop,Lahore,11,75000
2024-02-02,Phone,Peshawar,21,45000
2024-02-02,Tablet,Islamabad,16,35000
2024-02-02,Monitor,Multan,6,25000
2024-02-03,Headphones,Karachi,22,8000
2024-02-03,Headphones,Peshawar,16,8000
2024-02-03,Monitor,Lahore,20,25000
2024-02-03,Phone,Multan,16,45000
2024-02-03,Headphones,Karachi,12,8000
2024-02-03,Tablet,Lahore,17,35000
2024-02-03,Phone,Quetta,5,45000
2024-02-03,Tablet,Islamabad,13,35000
2024-02-03,Laptop,Quetta,8,75000
2024-02-03,Phone,Islamabad,24,45000
2024-02-03,Headphones,Peshawar,5,8000
2024-02-03,Phone,Karachi,12,45000
2024-02-03,Phone,Peshawar,9,45000
2024-02-03,Phone,Islamabad,3,45000
2024-02-04,Phone,Islamabad,3,45000
2024-02-04,Tablet,Islamabad,1,35000
2024-02-04,Laptop,Multan,22,75000
2024-02-04,Monitor,Lahore,18,25000
2024-02-04,Phone,Karachi,24,45000
2024-02-04,Headphones,Peshawar,12,8000
2024-02-04,Phone,Peshawar,9,45000
2024-02-04,Headphones,Quetta,9,8000
2024-02-04,Tablet,Islamabad,18,35000
2024-02-04,Headphones,Islamabad,18,8000
2024-02-04,Monitor,Islamabad,7,25000
2024-02-04,Laptop,Peshawar,4,75000
2024-02-04,Headphones,Quetta,13,8000
2024-02-04,Headphones,Lahore,17,8000
2024-02-05,Laptop,Multan,24,75000
2024-02-05,Monitor,Karachi,2,25000
2024-02-05,Phone,Lahore,14,45000
2024-02-05,Headphones,Peshawar,3,8000
2024-02-05,Laptop,Multan,5,75000
2024-02-05,Tablet,Multan,14,35000
2024-02-05,Laptop,Multan,3,75000
2024-02-05,Tablet,Islamabad,23,35000
2024-02-05,Monitor,Karachi,7,25000
2024-02-05,Phone,Peshawar,18,45000
2024-02-05,Laptop,Peshawar,13,75000
2024-02-05,Headphones,Multan,23,8000
2024-02-05,Monitor,Peshawar,22,25000
2024-02-05,Laptop,Karachi,10,75000
2024-02-06,Headphones,Karachi,13,8000
2024-02-06,Laptop,Quetta,16,75000
2024-02-06,Tablet,Quetta,9,35000
2024-02-06,Laptop,Lahore,2,75000
2024-02-06,Laptop,Karachi,23,75000
2024-02-06,Laptop,Karachi,5,75000
2024-02-06,Monitor,Karachi,22,25000
2024-02-06,Laptop,Quetta,17,75000
2024-02-06,Headphones,Multan,23,8000
2024-02-06,Tablet,Multan,22,35000
2024-02-06,Tablet,Peshawar,4,35000
2024-02-06,Laptop,Multan,17,75000
2024-02-06,Monitor,Islamabad,9,25000
2024-02-07,Monitor,Quetta,20,25000
2024-02-07,Headphones,Karachi,2,8000
2024-02-07,Laptop,Multan,24,75000
2024-02-07,Tablet,Quetta,18,35000
2024-02-07,Monitor,Multan,21,25000
2024-02-07,Laptop,Lahore,22,75000
2024-02-07,Monitor,Karachi,11,25000
2024-02-07,Monitor,Lahore,13,25000
2024-02-07,Tablet,Karachi,8,35000
2024-02-07,Phone,Quetta,1,45000
2024-02-07,Headphones,Peshawar,17,8000
2024-02-07,Headphones,Multan,12,8000
2024-02-07,Tablet,Multan,4,35000
2024-02-07,Monitor,Islamabad,21,25000
2024-02-08,Laptop,Lahore,13,75000
2024-02-08,Monitor,Multan,9,25000
2024-02-08,Tablet,Quetta,7,35000
2024-02-08,Headphones,Peshawar,23,8000
2024-02-08,Monitor,Quetta,24,25000
2024-02-08,Headphones,Lahore,5,8000
2024-02-08,Laptop,Islamabad,5,75000
2024-02-08,Headphones,Multan,17,8000
2024-02-08,Headphones,Quetta,9,8000
2024-02-08,Phone,Karachi,6,45000
2024-02-08,Phone,Peshawar,19,45000
2024-02-08,Phone,Quetta,16,45000
2024-02-08,Headphones,Peshawar,21,8000
2024-02-08,Tablet,Multan,2,35000
2024-02-09,Headphones,Karachi,10,8000
2024-02-09,Tablet,Islamabad,16,35000
2024-02-09,Tablet,Islamabad,5,35000
2024-02-09,Phone,Karachi,15,45000
2024-02-09,Monitor,Peshawar,13,25000
2024-02-09,Laptop,Multan,13,75000
2024-02-09,Phone,Quetta,13,45000
2024-02-09,Phone,Karachi,15,45000
2024-02-09,Monitor,Lahore,14,25000
2024-02-09,Laptop,Peshawar,8,75000
2024-02-09,Headphones,Islamabad,11,8000
2024-02-09,Headphones,Karachi,18,8000
2024-02-09,Phone,Islamabad,24,45000
2024-02-10,Laptop,Peshawar,4,75000
2024-02-10,Phone,Islamabad,10,45000
2024-02-10,Tablet,Karachi,1,35000
2024-02-10,Phone,Peshawar,5,45000
2024-02-10,Phone,Lahore,13,45000
2024-02-10,Headphones,Karachi,1,8000
2024-02-10,Headphones,Quetta,23,8000
2024-02-10,Headphones,Multan,8,8000
2024-02-10,Tablet,Karachi,3,35000
2024-02-10,Headphones,Peshawar,3,8000
2024-02-10,Laptop,Multan,7,75000
2024-02-10,Monitor,Karachi,4,25000
2024-02-10,Laptop,Lahore,3,75000
2024-02-10,Laptop,Lahore,15,75000
2024-02-11,Headphones,Quetta,8,8000
2024-02-11,Monitor,Islamabad,3,25000
2024-02-11,Monitor,Multan,7,25000
2024-02-11,Monitor,Peshawar,18,25000
2024-02-11,Tablet,Peshawar,11,35000
2024-02-11,Headphones,Islamabad,11,8000
2024-02-11,Monitor,Lahore,17,25000
2024-02-11,Tablet,Lahore,6,35000
2024-02-11,Phone,Karachi,8,45000
2024-02-11,Phone,Quetta,1,45000
2024-02-11,Tablet,Multan,10,35000
2024-02-11,Tablet,Quetta,19,35000
2024-02-11,Headphones,Quetta,3,8000
2024-02-11,Headphones,Karachi,4,8000
2024-02-12,Phone,Quetta,11,45000
2024-02-12,Monitor,Islamabad,15,25000
2024-02-12,Phone,Karachi,1,45000
2024-02-12,Monitor,Islamabad,9,25000
2024-02-12,Monitor,Karachi,11,25000
2024-02-12,Headphones,Quetta,19,8000
2024-02-12,Laptop,Islamabad,13,75000
2024-02-12,Laptop,Islamabad,16,75000
2024-02-12,Tablet,Islamabad,4,35000
2024-02-12,Headphones,Karachi,1,8000
2024-02-12,Monitor,Peshawar,20,25000
2024-02-12,Laptop,Quetta,13,75000
2024-02-12,Monitor,Islamabad,1,25000
2024-02-13,Laptop,Multan,5,75000
2024-02-13,Laptop,Peshawar,5,75000
2024-02-13,Laptop,Multan,14,75000
2024-02-13,Headphones,Quetta,23,8000
2024-02-13,Phone,Quetta,14,45000
2024-02-13,Monitor,Islamabad,8,25000
2024-02-13,Headphones,Islamabad,4,8000
2024-02-13,Headphones,Karachi,7,8000
2024-02-13,Headphones,Peshawar,20,8000
2024-02-13,Headphones,Peshawar,19,8000
2024-02-13,Headphones,Islamabad,15,8000
2024-02-13,Tablet,Quetta,22,35000
2024-02-13,Monitor,Islamabad,4,25000
2024-02-13,Headphones,Quetta,19,8000
2024-02-14,Monitor,Quetta,9,25000
2024-02-14,Tablet,Islamabad,21,35000
2024-02-14,Tablet,Lahore,13,35000
2024-02-14,Monitor,Peshawar,14,25000
2024-02-14,Laptop,Multan,23,75000
2024-02-14,Phone,Quetta,14,45000
2024-02-14,Laptop,Quetta,22,75000
2024-02-14,Laptop,Lahore,10,75000
2024-02-14,Laptop,Multan,16,75000
2024-02-14,Headphones,Karachi,5,8000
2024-02-14,Tablet,Lahore,23,35000
2024-02-14,Laptop,Multan,6,75000
2024-02-14,Tablet,Lahore,2,35000
2024-02-14,Monitor,Quetta,13,25000
2024-02-15,Phone,Peshawar,13,45000
2024-02-15,Monitor,Lahore,19,25000
2024-02-15,Monitor,Karachi,18,25000
2024-02-15,Headphones,Islamabad,19,8000
2024-02-15,Phone,Multan,1,45000
2024-02-15,Monitor,Lahore,8,25000
2024-02-15,Monitor,Lahore,22,25000
2024-02-15,Phone,Karachi,16,45000
2024-02-15,Phone,Peshawar,2,45000
2024-02-15,Monitor,Lahore,8,25000
2024-02-15,Phone,Lahore,6,45000
2024-02-15,Monitor,Peshawar,16,25000
2024-02-15,Monitor,Karachi,23,25000
2024-02-15,Headphones,Multan,11,8000
2024-02-16,Laptop,Multan,17,75000
2024-02-16,Monitor,Lahore,23,25000
2024-02-16,Tablet,Peshawar,19,35000
